Division,Event,Rider,Horse,Dress Score,Dress Place,Stad Jump,Stad Time,To Date Score,To Date Place,XC Jump,XC Elapsed,XC Time,Final Score,Final Place
Open Beginner Novice,Horse Trials at Majestic Oaks (Jan 2020),Emma Connor,Two Shy,44.30,19,8.00,0.00,52.30,19,0.00,5:18,0.00,52.30,17
Open Beginner Novice,Horse Trials at Majestic Oaks (Jan 2020),Betsy Ball,Early Times MWF,38.50,18,0.00,5.60,44.10,17,100.00,8:53,E,E,E
Open Beginner Novice,Horse Trials at Majestic Oaks (Jan 2020),Madison Dasti,Fox Ridge Double Take,31.00,12,0.00,0.00,31.00,9-T,0.00,0:00,TE,TE,TE
Starter,Horse Trials at Majestic Oaks (Jan 2020),Jamie Bassett,Master Higgins,29.40,1,0.00,0.80,30.20,1,0.00,3:09,0.00,30.20,1
Starter,Horse Trials at Majestic Oaks (Jan 2020),Kristen Ayers,Pack Leader,32.50,2,0.00,0.00,32.50,2,0.00,3:39,0.00,32.50,2
Starter,Horse Trials at Majestic Oaks (Jan 2020),Diana Bregman,Green Mountain Sky,33.30,3,4.00,0.00,37.30,3,0.00,3:12,0.00,37.30,3
Starter,Horse Trials at Majestic Oaks (Jan 2020),Ryleigh  Briles ,NDR's Charlie Horse ,36.70,6,8.00,0.00,44.70,4,0.00,2:44,0.00,44.70,4
Starter,Horse Trials at Majestic Oaks (Jan 2020),Chantel Drago,Owen,36.40,5,4.00,6.00,46.40,5,80.00,5:28,32.40,158.80,5
Starter,Horse Trials at Majestic Oaks (Jan 2020),Jennifer Carpenter,Miss Bizzi,34.20,4,12.00,E,E,E, ,0:00, , , 
Starter,Horse Trials at Majestic Oaks (Jan 2020),Susan Lester,Leprechaun Lane's Roxii's Got Moxie,TE,TE,0.00,TE,TE,TE,0.00,4:28,TE,TE,TE
