,show,dates
417,Sporting Days Farm March Horse Trials,03/02/2019-03/03/2019
418,Eventing Grand-Prix at Bruce's Field,03/01/2019-03/02/2019
419,Rocking Horse Winter III Horse Trials,03/01/2019-03/03/2019
420,Full Gallop Farm February H.T.,02/27/2019-02/27/2019
421,Ocala FEH/YEH Series 1 ,02/26/2019-02/26/2019
422,Stable View Eventing Academy Schooling H.T.,02/24/2019-02/24/2019
423,Running Start Horse Trials,02/23/2019-02/23/2019
424,Three Lakes Winter II HT ,02/23/2019-02/24/2019
425,Pine Top Advanced Horse Trials,02/22/2019-02/24/2019
426,Pipe Opener 2 - CHP,02/16/2019-02/16/2019
427,Paradise Farm Horse Trials (February 2019),02/15/2019-02/17/2019
428,Rocking Horse Winter 2 Horse Trials,02/14/2019-02/17/2019
429,Full Gallop February Schooling HT,02/13/2019-02/13/2019
430,Pine Top Intermediate Horse Trials,02/08/2019-02/10/2019
431,Ocala Winter I H.T. ,02/07/2019-02/10/2019
432,Full Gallop Farm February Horse Trials,02/06/2019-02/06/2019
433,The Barnstaple South Cross Country Derby,02/05/2019-02/05/2019
434,Sporting Days Farm Feb. HT,02/03/2019-02/03/2019
435,MDHT Winter Cross Derby - February,02/02/2019-02/02/2019
436,Three Lakes Winter 1,02/02/2019-02/03/2019
437,Galway Downs Winter Horse Trials,02/01/2019-02/03/2019
438,Stable View Aiken Winter HT,01/30/2019-01/30/2019
439,Full Gallop Farm January HT,01/27/2019-01/27/2019
440,Rocking Horse Winter 1 HT,01/25/2019-01/27/2019
441,Grand Oaks Horse Trials,01/18/2019-01/20/2019
442,Majestic Oaks Horse Trials,01/12/2019-01/13/2019
443,Pipe Opener 1 - CHP,01/12/2019-01/12/2019
444,Full Gallop January Schooling Show,01/06/2019-01/06/2019
445,POP Cross Country Schooling and Schooling Show,01/06/2019-01/06/2019
446,WindRidge Farm HT,1/6/2019
447,MDHT Cross Derby - January,01/05/2019-01/05/2019
448,Full Gallop Farm Nov HT,11/04/2018-11/04/2018
449,Horse Trials at Majestic Oaks (Jan 2020),01/11/0020-01/12/0020
