Event,Lon,Lat,temp-end,precip-end,wspd-end,visibility-end,cloudcover-end,moonphase-end,Precip_Prior_3_Day,Precip_Prior_5_Day,Precip_Prior_7_Day,Event_Falls,Ride_Count,Fall_Rate_Decimal,Fall_Rate_Percent,End_Datetime
Morven Park Spring Horse Trials,-77.55527,39.14542,45.1,0.0,8.6,9.9,9.7,0.99,1.48,1.48,1.48,14,225,0.06222222222222222,6.222222222222222,2020-11-14
Morven Park Spring Horse Trials,-77.55527,39.14542,45.1,0.0,8.6,9.9,9.7,0.99,1.48,1.48,1.48,14,225,0.06222222222222222,6.222222222222222,2019-03-30
Galway Downs International Event and H.T. (2019),-117.03396,33.48728,55.2,0.0,8.1,9.8,2.6,0.79,0.0,0.0,0.01,7,293,0.023890784982935155,2.3890784982935154,2019-03-29
Poplar Place March Horse Trials (2019),-84.86506999999997,32.7023,56.6,0.0,5.7,9.7,0.0,0.53,0.0,0.0,0.0,6,122,0.04918032786885246,4.918032786885246,2019-03-23
Stable View Spring Horse Trials (2019),-81.79998,33.64859000000001,48.0,0.0,13.0,9.9,0.0,0.47,0.0,0.0,0.0,5,230,0.021739130434782608,2.1739130434782608,2019-03-19
Ocala Winter II Horse Trials,-82.13986,29.05603,71.4,0.0,12.5,9.9,24.2,0.23,0.0,0.0,0.0,9,280,0.03214285714285714,3.214285714285714,2019-03-14
Full Gallop Farm March I HT,-81.58405,33.57045,56.3,0.0,10.0,6.9,69.6,0.03,0.0,0.11,0.91,0,100,0.0,0.0,2019-03-09
Red Hills International Horse Trial (March 2019),-84.30026,30.53853,43.6,0.0,18.3,9.9,10.2,1.0,0.8400000000000001,2.76,3.01,5,181,0.027624309392265192,2.7624309392265194,2019-03-06
Full Gallop Farm February H.T.,-81.58405,33.57045,57.7,0.0,9.0,9.3,57.7,0.78,0.21,0.21,0.5700000000000001,2,97,0.020618556701030927,2.0618556701030926,2019-02-27
Paradise Farm Horse Trials (February 2019),-81.55785,33.57801,54.3,0.07,12.0,9.4,66.6,0.36,0.23,0.38,0.38,2,250,0.008,0.8,2019-02-15
Galway Downs Winter Horse Trials,-117.03396,33.48728,51.4,0.26,7.3,8.9,39.4,0.94,1.05,1.05,1.05,6,164,0.036585365853658534,3.6585365853658534,2019-02-01
Full Gallop Farm January HT,-81.58405,33.57045,39.6,0.0,11.3,9.9,1.5,0.71,1.16,1.2,1.62,0,33,0.0,0.0,2019-01-27
Rocking Horse Winter 1 HT,-81.64143,28.99305,49.9,0.0,12.6,9.9,19.8,0.6,0.53,0.74,0.74,3,135,0.022222222222222223,2.2222222222222223,2019-01-25
Full Gallop Farm Nov HT,-81.58405,33.57045,52.8,0.02,10.7,9.8,40.9,0.93,0.54,0.54,0.54,0,10,0.0,0.0,2018-11-04
Horse Trials at Majestic Oaks (Jan 2020),-82.21323000000002,29.40346,72.6,0.0,16.0,9.3,69.8,0.5,0.0,0.0,0.54,4,182,0.02197802197802198,2.197802197802198,2020-01-11
