Event,Lon,Lat,temp-end,precip-end,wspd-end,visibility-end,cloudcover-end,moonphase-end,Precip_Prior_3_Day,Precip_Prior_5_Day,Precip_Prior_7_Day,Event_Falls,Ride_Count,Fall_Rate_Decimal,Fall_Rate_Percent,End_Datetime
Apple Knoll Farm H.T.(Sep 2020),-70.57221,41.86124,52.7,0.0,16.9,9.8,10.8,0.02,0.04,0.04,0.04,4,83,0.04819277108433735,4.819277108433735,2020-09-19
Plantation Field International CCI-S(Sep 2020),-75.78744,39.90874,52.7,0.0,16.9,9.8,10.8,0.02,0.04,0.04,0.04,7,184,0.03804347826086957,3.804347826086957,2020-09-16
Course Brook Farm Horse Trials,-71.39974000000002,42.25229,77.7,0.0,9.9,7.7,20.4,0.96,0.18,0.51,0.54,7,320,0.021875,2.1875,2020-07-18
Majestic Oaks Schooling Show,-82.21323000000002,29.40346,58.9,0.02,5.5,8.8,74.4,0.95,0.0,0.15,0.35,0,67,0.0,0.0,2020-12-12
GMHA Starter Horse Trials (Aug 2020),-72.53926,43.55708,63.1,0.0,11.0,9.9,67.1,0.45,0.8300000000000001,1.32,1.59,0,71,0.0,0.0,2020-08-30
Chattahoochee Hills H.T. (Aug 2020),-84.70005,33.63993,80.5,0.0,12.2,9.7,63.5,0.41,0.08,1.57,1.61,10,322,0.031055900621118012,3.1055900621118013,2020-08-29
War Horse Event Series (Aug 2020),-79.36633,35.01506,77.8,0.04,10.5,9.7,45.4,0.1,0.24,1.13,1.2600000000000002,1,60,0.016666666666666666,1.6666666666666667,2020-08-23
Full Gallop Farm August HT(Aug 2020),-81.58405,33.57045,78.7,0.41,12.3,8.7,53.1,0.91,0.64,1.69,1.8,5,74,0.06756756756756757,6.756756756756757,2020-08-15
Fair Hill International August Horse Trials,-75.86013,39.70171,74.7,0.0,5.2,9.6,34.1,0.59,2.52,6.48,6.49,17,578,0.029411764705882353,2.941176470588235,2020-08-08
Fair Hill International August Horse Trials,-75.86013,39.70171,74.7,0.0,5.2,9.6,34.1,0.59,2.52,6.48,6.49,17,578,0.029411764705882353,2.941176470588235,2019-08-10
The Summer Event at Woodside (Aug 2020),-122.24548,37.40747,63.3,0.0,17.5,8.5,60.6,0.53,0.02,0.02,0.02,12,358,0.0335195530726257,3.35195530726257,2020-08-06
