Dress Score,Stad Jump,Stad Time,XC Jump,XC Time,Final Score,Final Place,RF,Elimination
38.5,4,0.4,0,16.4,59.3,9,0,0
38,4,0,20,24.8,86.8,10,0,0
37,24,0,40,30.4,131.4,11,0,0
30.4,0,0,0,0,30.4,1,0,0
31.7,0,0,0,0.4,32.1,2,0,0
33.5,4,0,0,0,37.5,3,0,0
38.5,0,0,0,0,38.5,4,0,0
29.5,0,0,0,0,29.5,1,0,0
31.7,0,0,0,0,31.7,2,0,0
29.5,0,0,0,2.4,31.9,3,0,0
33.1,0,0,0,0,33.1,4,0,0
33.1,4,0,0,0,37.1,5,0,0
33.8,4,0,0,0,37.8,6,0,0
35,4,6.4,0,3.2,48.6,7,0,0
46,4,0,0,0,50,8,0,0
42.1,8,0,0,1.6,51.7,9,0,0
39.1,12,5.2,20,4.8,81.1,10,0,0
26.4,0,0,0,0.8,27.2,1,0,0
27.4,0,0,0,0,27.4,2,0,0
27.9,0,0,0,0,27.9,3,0,0
29.5,0,0,0,0.4,29.9,4,0,0
37.9,4,0,0,0,41.9,5,0,0
37.6,4,0,0,2,43.6,6,0,0
34.1,4,0,0,5.6,43.7,7,0,0
38.1,8,0,0,0,46.1,8,0,0
30.5,12,0,0,11.6,54.1,9,0,0
36.4,4,4.8,0,17.6,62.8,10,0,0
41,12,0.8,20,34.8,108.6,11,0,0
30,8,0,0,0,38,1,0,0
40,0,0,0,0,40,2,0,0
32,12,0,0,0,44,3,0,0
38,8,0,0,20.4,66.4,4,0,0
33.3,0,0,0,0,33.3,1,0,0
31,4,0,0,0,35,2,0,0
35.2,0,0,0,0,35.2,3,0,0
40.2,4,0,0,0,44.2,4,0,0
40.5,4,0,0,0,44.5,5,0,0
36.9,4,0,0,6.8,47.7,6,0,0
43.8,8,0,0,0,51.8,7,0,0
26.2,0,0,0,0,26.2,1,0,0
27.4,0,0,0,0,27.4,2,0,0
27.4,0,0,0,0,27.4,3,0,0
34.3,0,0,0,0,34.3,4,0,0
21,0,0,20,1.2,42.2,5,0,0
35.5,12,0,0,0,47.5,6,0,0
37.1,4,0,20,0,61.1,7,0,0
32.9,0,0,20,12.4,65.3,8,0,0
23.8,0,0,0,0,23.8,1,0,0
27.9,4,0,0,0,31.9,2,0,0
36.2,0,0,0,0.8,37,3,0,0
38.6,12,0,0,1.2,51.8,4,0,0
34.1,8,0,20,9.2,71.3,5,0,0
40.2,12,0.8,20,40.4,113.4,6,0,0
34.3,0,4:40,2,0,34.3,1,0,0
34.1,0,4:36,1,0,38.1,2,0,0
38.3,0,4:33,4,0,38.3,3,0,0
37.1,0,4:37,3,0,41.1,4,0,0
30.7,20,4:40,5,0,50.7,5,0,0
32.4,20,4:55,6,0,56.4,6,0,0
34.5,20,4:53,7,0,62.5,7,0,0
33.8,20,5:19,8,0.4,71,8,0,0
24.3,0,4:31,1,0,28.3,1,0,0
31,0,4:41,2,0,35,2,0,0
31.7,0,4:45,3,0,35.7,3,0,0
34.8,0,4:26,5,0,38.8,4,0,0
33.8,0,4:07,7,0,40.6,5,0,0
32.9,0,4:37,4,0,44.9,6,0,0
37.6,0,4:38,6,0,49.6,7,0,0
31.2,20,4:58,8,1.2,60.8,8,0,0
32.9,0,0,0,0,32.9,1,0,0
29.8,4,0,0,0,33.8,2,0,0
30,4,0,0,0,34,3,0,0
34.1,0,0,0,0,34.1,4,0,0
34.3,0,0,0,0,34.3,5,0,0
32.6,4,0,0,0,36.6,6,0,0
33.6,4,0,0,0,37.6,7,0,0
34.1,4,0,0,0,38.1,8,0,0
33.8,4,0,0,0.4,38.2,9,0,0
32.6,4,0,0,2.4,39,10,0,0
38.6,4,0,0,0,42.6,11,0,0
33.1,12,0,0,0,45.1,12,0,0
34.8,12,0,0,0,46.8,13,0,0
32.4,16,4.8,0,0,53.2,14,0,0
36.7,32,0,0,1.6,70.3,15,0,0
24.1,0,0,0,0,24.1,1,0,0
24.8,0,0,0,0,24.8,2,0,0
25.5,0,0,0,0,25.5,3,0,0
26.2,0,0,0,0,26.2,4,0,0
27.4,4,0,0,0,31.4,5,0,0
29.3,0,0,0,2.4,31.7,6,0,0
30.2,4,0,0,0,34.2,7,0,0
29.8,8,0,0,0,37.8,8,0,0
22.6,16,1.2,0,0,39.8,9,0,0
33.1,8,0,0,0,41.1,10,0,0
25.2,0,0,20,0,45.2,11,0,0
25.2,0,4:40,1,0,25.2,1,0,0
31.2,0,4:26,3,0,31.2,2,0,0
35,0,4:34,5,0,35,3,0,0
32.9,0,4:26,4,0,36.9,4,0,0
40.5,0,4:52,8,0,40.5,5,0,0
41.4,0,4:40,9,0,41.4,6,0,0
30.7,0,4:42,2,3.2,41.9,7,0,0
36,0,4:40,7,0,44,8,0,0
34.5,20,4:36,10,0,54.5,9,0,0
37.4,20,5:09,11,2.4,68.6,10,0,0
30.2,0,4:27,1,0,30.2,1,0,0
33.8,0,4:34,2,0,33.8,2,0,0
40.2,0,4:37,6,0,40.2,3,0,0
34.3,0,4:47,3,0,42.3,4,0,0
34.5,0,4:41,4,0,46.5,5,0,0
39.1,0,5:00,7,0,52.3,6,0,0
43.8,0,4:34,8,0,59.8,7,0,0
35.5,0,4:59,5,4.8,61.1,8,0,0
25.3,0,4:48,1,0,25.3,1,0,0
29.4,0,4:46,2,0,29.4,2,0,0
30,0,4:48,3,0,30,3,0,0
34.7,0,4:29,6,0,34.7,4,0,0
29.7,0,5:26,4,0,36.1,5,0,0
30.6,0,5:25,5,1.2,37.8,6,0,0
36.7,0,4:28,7,0,40.7,7,0,0
42.5,0,4:38,11,0,42.5,8,0,0
41.7,0,4:29,10,0,49.7,9,0,0
37.5,20,5:18,14,0,57.5,10,0,0
33.3,20,4:27,13,0,61.3,11,0,0
30.8,20,4:30,12,4,62.8,12,0,0
40.8,20,5:55,15,0,74.8,13,0,0
37.5,40,5:16,16,0,81.5,14,0,0
33.3,0,4:27,1,0,33.3,1,0,0
36.4,0,5:00,3,0,36.4,2,0,0
36.9,0,4:25,5,0,36.9,3,0,0
33.9,0,5:07,2,0,37.9,4,0,0
40,0,4:39,8,0,40,5,0,0
36.7,0,4:18,4,0,40.7,6,0,0
38.3,0,4:35,6,0,42.3,7,0,0
39.7,0,5:06,7,0,43.7,8,0,0
33.6,0,6:27,10,7.2,75.6,9,0,0
38.6,20,6:38,11,0,89.8,10,0,0
44.4,40,8:11,12,0,156.8,11,0,0
34.7,0,5:08,2,0,34.7,1,0,0
35,0,4:38,3,0,35,2,0,0
36.9,0,4:30,5,0,36.9,3,0,0
34.4,0,4:48,1,0,38.4,4,0,0
37.5,0,4:12,8,0,39.1,5,0,0
38.1,0,5:01,6,0,42.1,6,0,0
38.9,0,4:34,7,0,42.9,7,0,0
36.7,0,4:34,4,0,44.7,8,0,0
39.7,0,4:28,9,0,47.7,9,0,0
38.9,0,4:02,11,0,48.5,10,0,0
46.4,0,4:48,12,0,50.4,11,0,0
35.3,0,4:00,10,5.2,66.9,12,0,0
41.4,0,6:00,13,15.2,80.6,13,0,0
28.3,0,5:04,1,0,28.3,1,0,0
33.9,0,4:47,2,0,33.9,2,0,0
38.9,0,5:22,8,0,38.9,3,0,0
35.3,0,4:55,5,0,39.3,4,0,0
40.3,0,5:25,10,0,44.3,5,0,0
33.9,0,4:59,2,7.2,45.1,6,0,0
38.6,0,4:41,7,0,46.6,7,0,0
40,0,5:04,9,0,48,8,0,0
39.4,20,6:42,11,0,92.2,9,0,0
27.5,0,4:44,2,0,27.5,1,0,0
25.8,0,4:53,1,0,29.8,2,0,0
32.2,0,5:29,4,0,32.2,3,0,0
33.1,0,5:37,7,0,35.9,4,0,0
33.1,0,5:18,5,0,37.1,5,0,0
34.2,0,5:24,6,0,38.2,6,0,0
40,0,5:00,9,0,40,7,0,0
38.9,0,5:03,8,0,42.9,8,0,0
40.6,0,5:36,10,0,47,9,0,0
31.9,0,5:19,3,0,47.9,10,0,0
29.2,20,5:31,11,0,57.6,11,0,0
35.8,20,5:44,12,0,65.4,12,0,0
41.9,20,5:09,13,0,69.9,13,0,0
22.5,0,4:46,1,0,22.5,1,0,0
24.7,0,5:10,2,0,24.7,2,0,0
30.3,0,4:52,3,0,30.3,3,0,0
30.6,0,4:59,4,0,30.6,4,0,0
31.4,0,4:34,6,0,31.8,5,0,0
31.9,0,5:15,7,0,31.9,6,0,0
32.5,0,5:18,9,0,32.5,7,0,0
31.1,0,5:12,5,0,35.1,8,0,0
31.9,0,5:38,11,0,35.1,9,0,0
31.9,0,5:09,7,0,35.9,10,0,0
37.8,0,5:02,13,0,37.8,11,0,0
37.8,0,4:53,13,0,37.8,12,0,0
36.1,0,4:52,12,0,40.1,13,0,0
38.3,0,5:17,15,0,42.3,14,0,0
34.4,0,5:13,10,0,42.4,15,0,0
45.8,0,4:47,19,0,45.8,16,0,0
42.5,0,5:23,18,0,46.5,17,0,0
27.2,20,5:15,20,0,47.2,18,0,0
35.8,20,5:23,21,0,59.8,21,0,0
37.2,40,5:58,22,0,96.4,22,0,0
23.6,0,4:47,1,0,23.6,1,0,0
32.5,0,5:02,4,0,32.5,2,0,0
33.9,0,4:55,5,0,33.9,3,0,0
30.6,0,4:54,2,0,34.6,4,0,0
34.7,0,5:02,6,0,34.7,5,0,0
40.3,0,4:52,8,0,40.3,6,0,0
40.8,0,5:19,9,0,40.8,7,0,0
38.3,0,4:31,7,0,47.9,8,0,0
31.9,20,5:38,11,0,55.1,9,0,0
24.6,0,0,0,0,24.6,1,0,0
23.3,0,0,0,3.6,26.9,2,0,0
27,0,0,0,0,27,3,0,0
25,0,0,0,2.4,27.4,4,0,0
29.8,0,0,0,0,29.8,5,0,0
31.3,0,0,0,0,31.3,6,0,0
27.6,4,0,0,0,31.6,7,0,0
29.1,4,0,0,0,33.1,8,0,0
35,0,0,0,0,35,9,0,0
32.4,4,0,0,0,36.4,10,0,0
35.7,0,0,0,2,37.7,11,0,0
29.6,8,0.8,0,0,38.4,12,0,0
29.6,8,0,0,6.8,44.4,13,0,0
31.5,4,0,0,0,35.5,1,0,0
36.7,0,0,0,0,36.7,2,0,0
37.7,0,0,0,2.8,40.5,3,0,0
31,0,0,20,0,51,4,0,0
31.7,0,4:50,1,0,31.7,1,0,0
32.1,0,4:47,2,0,32.1,2,0,0
32.9,0,4:54,3,0,32.9,3,0,0
33.8,0,5:09,4,0,33.8,4,0,0
34.8,0,4:56,5,0,38.8,5,0,0
35,0,4:53,6,0,39,6,0,0
40.5,0,4:53,7,0,40.5,7,0,0
21.4,0,0,0,0,21.4,1,0,0
24.5,0,0,0,0,24.5,2,0,0
20.7,4,0,0,0,24.7,3,0,0
29.1,0,0,0,0,29.1,4,0,0
31.2,0,0,0,0,31.2,5,0,0
31,4,0,0,0,35,6,0,0
35,0,0,0,0,35,7,0,0
42.4,0,0,0,0,42.4,8,0,0
43.3,0,0,0,0,43.3,9,0,0
40.2,4,0,0,0,44.2,10,0,0
38.3,8,0,0,0,46.3,11,0,0
18.1,0,0,0,0,18.1,1,0,0
25,0,0,0,0,25,2,0,0
28.1,0,0,0,0,28.1,3,0,0
26.2,12,0,0,0,38.2,4,0,0
36.4,0,0,0,2,38.4,5,0,0
35.2,12,0,0,0,47.2,6,0,0
32.6,0,0,20,0,52.6,7,0,0
33.1,0,0,20,0,53.1,8,0,0
32.1,20,2,0,7.6,61.7,9,0,0
26.9,4,0,20,13.6,64.5,10,0,0
19.3,0,5:00,1,0,19.3,1,0,0
25.7,0,5:17,2,0,25.7,2,0,0
29.3,0,5:07,6,0,29.3,3,0,0
30.2,0,5:18,9,0,30.2,4,0,0
30.2,0,5:06,9,0,30.2,5,0,0
26.4,0,5:03,3,0,30.4,6,0,0
30.7,0,4:46,12,0,30.7,7,0,0
31.4,0,5:21,14,0,31.4,8,0,0
31.7,0,5:23,15,0,31.7,9,0,0
31.7,0,5:03,15,0,31.7,10,0,0
31.7,0,4:40,15,0,31.7,11,0,0
32.1,0,4:57,18,0,32.1,12,0,0
29.1,0,5:35,4,0,33.1,13,0,0
33.1,0,5:16,20,0,33.1,14,0,0
33.3,0,5:04,21,0,33.3,15,0,0
29.3,0,5:03,6,0,33.3,16,0,0
33.6,0,4:44,22,0,33.6,17,0,0
30.5,0,5:01,11,0,34.5,18,0,0
31,0,4:47,13,0,35,19,0,0
29.3,0,4:52,6,6.4,35.7,20,0,0
29.1,0,4:57,4,0,37.1,21,0,0
37.6,0,5:09,26,0,37.6,22,0,0
37.6,0,5:38,27,0,38.4,23,0,0
32.1,0,5:01,18,0,44.1,24,0,0
36.2,0,5:21,25,0,48.2,25,0,0
29.3,20,5:14,28,0,49.3,26,0,0
23.1,4,0,0,0,27.1,1,0,0
23.1,4,0,0,0,27.1,2,0,0
27.4,0,0,0,0,27.4,3,0,0
32.1,0,0,0,0,32.1,4,0,0
33.6,0,0,0,0,33.6,5,0,0
34.8,0,0,0,0,34.8,6,0,0
31.9,4,0,0,0,35.9,7,0,0
37.9,0,0,0,0,37.9,8,0,0
39.8,0,0,0,2.8,42.6,9,0,0
38.8,4,0,0,0,42.8,10,0,0
29.8,8,0,0,6.8,44.6,11,0,0
45.7,0,0,0,0,45.7,12,0,0
39.3,12,0,0,0,51.3,13,0,0
42.9,4,0,0,8.4,55.3,14,0,0
56,20,0,0,0,76,15,0,0
21.9,4,0,0,0,25.9,1,0,0
26,0,0,0,0,26,2,0,0
27.1,0,0,0,0,27.1,3,0,0
26.9,4,0,0,0,30.9,4,0,0
31.7,0,0,0,0,31.7,5,0,0
30.7,4,0,0,0,34.7,6,0,0
29.5,0,0,0,5.2,34.7,7,0,0
29.8,4,1.6,0,0,35.4,8,0,0
36.2,0,0,0,0,36.2,9,0,0
32.9,4,0,0,0,36.9,10,0,0
30.7,8,0,0,0,38.7,11,0,0
26.9,12,0,0,0,38.9,12,0,0
27.9,0,0,20,0,47.9,13,0,0
32.4,16,0,0,0,48.4,14,0,0
31.4,0,0,0,0,31.4,1,0,0
31.4,4,0,0,0,35.4,2,0,0
37.4,0,0,0,0,37.4,3,0,0
31,8,0,0,0,39,4,0,0
35.5,4,0,0,0,39.5,5,0,0
36.7,4,0,0,0,40.7,6,0,0
36.4,8,0,0,8.4,52.8,7,0,0
25,0,0,0,0,25,1,0,0
25.5,0,0,0,0,25.5,2,0,0
27.9,0,0,0,0,27.9,3,0,0
25.7,4,0,0,0,29.7,4,0,0
33.6,0,0,0,0,33.6,5,0,0
36.7,0,0,0,0,36.7,6,0,0
38.8,0,0,0,0,38.8,7,0,0
35.2,4,0,0,0,39.2,8,0,0
35.2,4,0,0,0,39.2,9,0,0
26.7,8,0,20,0,54.7,10,0,0
44.8,4,1.6,20,0,70.4,11,0,0
23.9,0,4:39,2,0,23.9,1,0,0
25.8,0,4:41,4,0,25.8,2,0,0
25.8,0,4:40,4,0,25.8,3,0,0
26.4,0,4:39,6,0,26.4,4,0,0
25.3,0,4:57,3,1.6,26.9,5,0,0
26.9,0,4:36,7,0,26.9,6,0,0
27.2,0,4:51,8,0,27.2,7,0,0
27.8,0,4:18,9,0,27.8,8,0,0
28.1,0,4:30,10,0,28.1,9,0,0
28.6,0,4:23,11,0,28.6,10,0,0
28.9,0,4:34,12,0,28.9,11,0,0
31.7,0,4:53,14,0,31.7,12,0,0
31.9,0,4:40,15,0,31.9,13,0,0
32.8,0,4:45,16,0,32.8,14,0,0
33.1,0,4:48,17,0,33.1,15,0,0
33.1,0,4:10,17,0,33.1,16,0,0
33.6,0,4:29,19,0,33.6,17,0,0
30.3,0,4:42,13,0,34.3,18,0,0
34.4,0,4:29,21,0,34.4,19,0,0
34.7,0,5:05,22,0,34.7,20,0,0
34.7,0,4:35,22,0,34.7,21,0,0
35.3,0,4:57,24,0,35.3,22,0,0
23.6,0,4:21,1,0,35.6,23,0,0
32.5,0,5:19,25,0,35.7,24,0,0
36.7,0,4:22,26,0,36.7,25,0,0
37.2,0,4:37,27,0,37.2,26,0,0
33.9,0,4:38,20,0,37.9,27,0,0
42.5,0,4:40,28,0,42.5,28,0,0
26.9,20,4:31,29,1.2,48.1,29,0,0
33.3,20,4:58,30,0,53.3,30,0,0
36.9,20,4:41,31,0,56.9,31,0,0
34.4,20,5:52,32,0,70.8,32,0,0
29.5,0,0,0,0,29.5,1,0,0
29.8,0,0,0,0,29.8,2,0,0
30.3,0,0,0,0,30.3,3,0,0
30.5,0,0,0,0,30.5,4,0,0
31.8,0,0,0,0,31.8,5,0,0
35.3,0,0,0,0,35.3,8,0,0
36.3,0,0,0,0,36.3,9,0,0
35.8,0,0,20,0,55.8,10,0,0
34.5,4,0,20,0,58.5,11,0,0
33,8,0,20,0,61,12,0,0
24.8,0,0,0,0,24.8,1,0,0
25.5,0,0,0,0,25.5,2,0,0
34.5,0,0,0,0,34.5,3,0,0
37,0,0,0,0,37,4,0,0
38.5,4,0,0,0,42.5,5,0,0
43.5,0,0,0,0,43.5,6,0,0
37.8,0,0,20,0,57.8,7,0,0
28,0,0,40,0,68,8,0,0
34.5,0,0,40,0,74.5,9,0,0
42.5,0,0,40,0,82.5,10,0,0
31.6,0,0,0,0,31.6,1,0,0
36.9,0,0,0,0,36.9,2,0,0
36.6,0,0,20,0,56.6,3,0,0
31.9,16,0,20,0,67.9,4,0,0
30.7,0,0,0,0,30.7,1,0,0
34.1,0,0,0,0,34.1,2,0,0
34.8,0,0,0,0,34.8,3,0,0
35.7,0,0,0,0,35.7,4,0,0
32.9,4,0,0,0,36.9,5,0,0
33.3,4,0,0,0,37.3,6,0,0
33.5,0,0,0,0,33.5,3,0,0
29.8,4,0,0,0,33.8,4,0,0
34,0,0,0,0,34,5,0,0
34.3,0,0,0,0,34.3,6,0,0
34.8,0,0,0,0,34.8,7,0,0
35.8,0,0,0,0,35.8,8,0,0
37.5,4,0,0,0,41.5,9,0,0
43.5,0,0,0,0,43.5,10,0,0
38.3,12,0,0,0,50.3,11,0,0
38.5,4,0,20,0,62.5,12,0,0
33.3,4,0,0,0,37.3,3,0,0
34.3,4,0,20,0,58.3,4,0,0
30.5,0,0,0,0,30.5,1,0,0
